Non riuscivo proprio a provare delle emozioni positive,Ho avuto un'estrema difficoltà nel cominciare quello che dovevo fare,Non vedevo nulla di buono nel mio futuro,Mi sono sentito scoraggiato e depresso,Non c'era nulla che mi dava entusiasmo,Sentivo di valere poco come persona,Sentivo la vita priva di significato,Mi sono accorto di avere la bocca secca,"Mi sono sentito molto in affanno e con difficoltà a respirare (per es. respiro molto accelerato, sensazione di forte affanno in assenza di sforzo fisico",Ho avuto tremori (per es. alle mani),Ho temuto di trovarmi in situazioni in cui sarei potuto andare nel panico e rendermi ridicolo,Ho sentito di essere vicino ad avere un attacco di panico,Ho percepito distintamente il battito del mio cuore senza aver fatto uno sforzo fisico (per es. battito cardiaco accelarato o perdita di un battito),Mi sono sentito spaventato senza ragione,Ho provato molta tensione e ho avuto difficoltà,Ho avuto la tendenza a reagire in maniera eccessiva alle situazioni ,Ho sentito che stavo impiegando molta energia nervosa,Mi sono sentito stressato,Ho avuo difficoltà a rilassarmi,Non riuscivo a tollerare per nulla eventi o situazioni che mi impedivano di portare avanti ciò che stavo facendo,Mi sono sentito piuttosto irritabile
0.48927936,0.58194923,0.55406475,0.5618115,0.51052284,0.5996186,0.61449397,0.54127955,0.5665755,0.59742576,1.0,0.6813902,0.5121096,0.64481854,0.51947,0.65233386,0.5513169,0.5193289,0.5821957,0.6532566,0.40754944
0.4239048,0.60808444,0.5716852,0.59354854,0.49847487,0.6519761,0.60677034,0.52763665,0.54027736,0.52698994,0.6813902,1.0,0.5149595,0.6561889,0.5182977,0.48307964,0.58538073,0.5702515,0.502733,0.63585013,0.48609352
0.40182513,0.43629336,0.4839716,0.41252655,0.37854826,0.44478723,0.4324042,0.4620645,0.5700145,0.39862078,0.5121096,0.5149595,1.0,0.54499024,0.33958238,0.43393904,0.47255698,0.44926554,0.35435736,0.50044906,0.33605105
0.42902002,0.5895213,0.52856636,0.5978839,0.4586909,0.61219823,0.6547381,0.5284209,0.5685163,0.47446686,0.64481854,0.6561889,0.54499024,1.0,0.49641374,0.47112036,0.56564796,0.664839,0.5407654,0.57218254,0.6064627
0.40414143,0.60265577,0.39696547,0.5130923,0.39733905,0.46629247,0.5129918,0.42915258,0.4801042,0.49740154,0.51947,0.5182977,0.33958238,0.49641374,1.0,0.5148442,0.5693187,0.49820146,0.5670191,0.45828566,0.39648384
0.4882022,0.5446801,0.46472317,0.52547646,0.51827806,0.488541,0.57274705,0.48663303,0.5719038,0.55331415,0.65233386,0.48307964,0.43393904,0.47112036,0.5148442,1.0,0.5352465,0.4440433,0.5311516,0.55673563,0.32817438
0.46068695,0.6215868,0.48416227,0.55347353,0.5842545,0.5201964,0.5832772,0.48562393,0.59646684,0.5245338,0.5513169,0.58538073,0.47255674,0.5656479,0.56931865,0.53524655,1.0,0.47108608,0.4757292,0.5033239,0.4509187
0.3326415,0.43486935,0.43721974,0.61678874,0.40758365,0.5072439,0.5201205,0.4515621,0.4301834,0.44674185,0.51932883,0.5702516,0.4492656,0.664839,0.4982014,0.44404328,0.47108608,1.0,0.3815518,0.4559744,0.66710716
0.47709793,0.6481353,0.49846718,0.4681039,0.5084627,0.49457416,0.54025054,0.50523484,0.57721853,0.52551436,0.5821957,0.502733,0.35435736,0.5407654,0.5670191,0.5311516,0.4757292,0.3815518,1.0,0.51114964,0.3609444
0.50286996,0.5737101,0.5791469,0.48024687,0.5211092,0.5994613,0.5860882,0.5044276,0.5237155,0.47797894,0.6532566,0.63585013,0.50044906,0.57218254,0.45828566,0.55673563,0.5033239,0.4559744,0.51114964,1.0,0.38902992
0.36987898,0.42449036,0.43169504,0.6037328,0.38138422,0.48356992,0.48380747,0.39371264,0.4217204,0.36962837,0.40754944,0.48609352,0.33605105,0.6064627,0.39648384,0.32817438,0.4509187,0.66710716,0.3609444,0.38902992,1.0
