Non riuscivo proprio a provare delle emozioni positive,Ho avuto un'estrema difficoltà nel cominciare quello che dovevo fare,Non vedevo nulla di buono nel mio futuro,Mi sono sentito scoraggiato e depresso,Non c'era nulla che mi dava entusiasmo,Sentivo di valere poco come persona,Sentivo la vita priva di significato,Mi sono accorto di avere la bocca secca,"Mi sono sentito molto in affanno e con difficoltà a respirare (per es. respiro molto accelerato, sensazione di forte affanno in assenza di sforzo fisico",Ho avuto tremori (per es. alle mani),Ho temuto di trovarmi in situazioni in cui sarei potuto andare nel panico e rendermi ridicolo,Ho sentito di essere vicino ad avere un attacco di panico,Ho percepito distintamente il battito del mio cuore senza aver fatto uno sforzo fisico (per es. battito cardiaco accelarato o perdita di un battito),Mi sono sentito spaventato senza ragione,Ho provato molta tensione e ho avuto difficoltà,Ho avuto la tendenza a reagire in maniera eccessiva alle situazioni ,Ho sentito che stavo impiegando molta energia nervosa,Mi sono sentito stressato,Ho avuo difficoltà a rilassarmi,Non riuscivo a tollerare per nulla eventi o situazioni che mi impedivano di portare avanti ciò che stavo facendo,Mi sono sentito piuttosto irritabile
0.41219485,0.49389505,0.3779148,0.5350532,0.39285436,0.282239,0.27610114,0.3986379,0.5033659,0.41882715,1.0,0.5842619,0.35781524,0.5576499,0.49875855,0.5401837,0.4270566,0.5189984,0.41330644,0.5886637,0.48557442
0.41973355,0.44889846,0.29839274,0.57581866,0.33245274,0.41731566,0.3318039,0.5068908,0.5613848,0.5053247,0.5842619,1.0,0.46526212,0.56483984,0.4981113,0.50058377,0.65165544,0.61464995,0.43841666,0.36454546,0.6016644
0.48499337,0.46738505,0.37786847,0.485936,0.42017868,0.33160472,0.42157805,0.38807642,0.71068835,0.59561276,0.35781524,0.46526212,1.0,0.51932615,0.52195203,0.3739314,0.526931,0.53565395,0.3844486,0.48407447,0.49171746
0.5252434,0.47774556,0.45857486,0.68322766,0.5067251,0.4864868,0.5804924,0.48561156,0.5408499,0.48413822,0.5576499,0.56483984,0.51932615,1.0,0.49135137,0.5245655,0.57026577,0.71579456,0.48540387,0.44823262,0.74309725
0.5271912,0.63977075,0.3785054,0.67558324,0.4644481,0.27719444,0.2693534,0.40500307,0.7232188,0.52044827,0.49875855,0.4981113,0.52195203,0.49135137,1.0,0.5428841,0.63287675,0.67863643,0.5745952,0.50870085,0.5649357
0.53238916,0.55656874,0.4426451,0.4903686,0.39708704,0.3415241,0.29197615,0.43577176,0.47735733,0.49461395,0.5401837,0.50058377,0.3739314,0.5245655,0.5428841,1.0,0.5653703,0.5718193,0.4201106,0.57174313,0.5942549
0.54257166,0.48434073,0.37919852,0.633693,0.4602939,0.41088796,0.40838212,0.5196129,0.6026059,0.49302953,0.4270566,0.6516556,0.5269309,0.57026577,0.6328766,0.56537026,1.0,0.67021704,0.44311607,0.38769862,0.68038213
0.54701424,0.5053045,0.3845009,0.8003776,0.51096636,0.42929977,0.40760326,0.52906144,0.61886084,0.586555,0.5189984,0.61465,0.5356538,0.7157947,0.67863655,0.57181925,0.67021704,1.0,0.6453544,0.46916157,0.7993893
0.44356394,0.52450347,0.32062835,0.56951237,0.39970016,0.39160997,0.3347171,0.4201059,0.54280555,0.4221918,0.41330644,0.43841666,0.3844486,0.48540387,0.5745952,0.4201106,0.44311607,0.6453544,1.0,0.374964,0.6073482
0.5664714,0.6328587,0.5530057,0.43741408,0.5588039,0.23772727,0.29473627,0.31987345,0.46636212,0.41734657,0.5886637,0.36454546,0.48407447,0.44823262,0.50870085,0.57174313,0.38769862,0.46916157,0.374964,1.0,0.41145757
0.57733446,0.5214224,0.42566872,0.73802304,0.50259954,0.54461384,0.4541673,0.5413048,0.5789598,0.52209085,0.48557442,0.6016644,0.49171746,0.74309725,0.5649357,0.5942549,0.68038213,0.7993893,0.6073482,0.41145757,1.0
