I couldn't seem to experience any positive feeling at all ,I found it difficult to work up the initiative to do things ,I felt that I had nothing to look forward to ,I felt down-hearted and blue,I was unable to become enthusiastic about anything ,I felt I wasn't worth much as a person ,I felt that life was meaningless ,I was aware of dryness of my mouth,"I experienced breathing difficulty (eg, excessively rapid breathing,
breathlessness in the absence of physical exertion)","I experienced trembling (eg, in the hands) ","I was worried about situations in which I might panic and make
a fool of myself",I felt I was close to panic ,"I was aware of the action of my heart in the absence of physical
exertion (eg, sense of heart rate increase, heart missing a beat)",I felt scared without any good reason,I found it hard to wind down,I tended to over-react to situations ,I felt that I was using a lot of nervous energy,I found myself getting agitated ,I found it difficult to relax ,"I was intolerant of anything that kept me from getting on with
what I was doing",I felt that I was rather touchy
0.7370559,0.77116656,0.7455728,0.750594,0.77810013,0.7785364,0.7452112,0.77188045,0.8173891,0.84229594,1.0,0.8770107,0.7883377,0.83759403,0.7722547,0.8645169,0.86860305,0.8106779,0.8010107,0.7738613,0.8118397
0.7834852,0.7514104,0.78458285,0.7979059,0.78296304,0.7905512,0.79197514,0.793368,0.85239124,0.8705826,0.8770107,1.0,0.81423676,0.87698555,0.7945431,0.83232343,0.8684955,0.859234,0.8316019,0.7576724,0.8333632
0.76349294,0.7180161,0.74328053,0.77133095,0.7579029,0.7585914,0.7738049,0.8252966,0.8872477,0.820291,0.7883377,0.81423676,1.0,0.8065127,0.7752564,0.7607068,0.81182414,0.7611332,0.7842436,0.7406224,0.7752621
0.81961286,0.74737614,0.8085827,0.79352176,0.80614305,0.80158585,0.8152505,0.7610018,0.8168725,0.8614741,0.83759403,0.87698555,0.8065127,1.0,0.76409346,0.7960218,0.8424908,0.82717574,0.80068135,0.75576293,0.81272125
0.78598166,0.8343779,0.75702345,0.7805371,0.8222165,0.74547684,0.7679243,0.77760446,0.8389994,0.8234004,0.7722547,0.7945431,0.7752564,0.76409346,1.0,0.7794206,0.8487905,0.85379636,0.9147232,0.82350135,0.81240034
0.7457572,0.74822956,0.7385586,0.7645701,0.78714967,0.7762141,0.7492588,0.74658245,0.81425714,0.8257495,0.8645169,0.83232343,0.7607068,0.7960218,0.7794206,1.0,0.8395964,0.8635077,0.80586094,0.8134221,0.8405183
0.80488145,0.81235385,0.7649864,0.79785377,0.82941973,0.7957306,0.7880935,0.7748041,0.8480252,0.9073286,0.8686032,0.8684956,0.8118242,0.8424908,0.84879065,0.8395964,1.0,0.87283266,0.8573922,0.7878015,0.8604646
0.8194399,0.78997254,0.776647,0.82304543,0.8322936,0.79986095,0.79685175,0.77055407,0.8314086,0.86661184,0.81067765,0.8592341,0.76113296,0.8271758,0.8537965,0.8635075,0.87283266,1.0,0.88011557,0.8290037,0.8572462
0.8316684,0.82906556,0.7927507,0.809576,0.84429884,0.7770231,0.79758006,0.7822632,0.8515278,0.84081346,0.8010107,0.8316019,0.7842436,0.80068135,0.9147232,0.80586094,0.8573922,0.88011557,1.0,0.82333016,0.83428353
0.7757287,0.77955556,0.75328034,0.74123424,0.82523066,0.7588607,0.7584965,0.7453605,0.7961884,0.77830946,0.7738613,0.7576724,0.7406224,0.75576293,0.82350135,0.8134221,0.7878015,0.8290037,0.82333016,1.0,0.7891902
0.7817151,0.7880368,0.7561094,0.80414295,0.7953695,0.8219843,0.7805673,0.79103667,0.7967812,0.8576304,0.8118397,0.8333632,0.7752621,0.81272125,0.81240034,0.8405183,0.8604646,0.8572462,0.83428353,0.7891902,1.0
